headline,text,business,entertainment,politics,sport,tech
musicians tackle us red tape,musicians groups tackle us visa regulations blamed hindering british acts chances succeeding across atlantic a singer hoping perform us expect pay 1 300 680 simply obtaining visa groups including musicians union calling end raw deal faced british performers us acts faced comparable expense bureaucracy visiting uk promotional purposes nigel mccune musicians union said british musicians disadvantaged compared us counterparts a sponsor make petition behalf form amounting nearly 30 pages musicians face tougher regulations athletes journalists if make mistake form risk five year ban thus ability career says mr mccune the us world biggest music market means something done creaky bureaucracy says mr mccune the current situation preventing british acts maintaining momentum developing us added the musicians union stance endorsed music managers forum mmf say british artists face uphill struggle succeed us thanks tough visa requirements also seen impractical the mmf general secretary james seller said imagine orchestra orkneys every member would travel london visas processed the us market seen holy grail one benchmarks success still going fight get it still important markets like europe india china added mr seller a department media culture sport spokeswoman said we aware people experiencing problems working us embassy record industry see a us embassy spokesman said we aware entertainers require visas time specific visas everything process applications speedily we aware importance cultural exchange best facilitate added,0,1,0,0,0
u 2 desire number one,u 2 three prestigious grammy awards hit vertigo stubbornly clinging status one biggest bands world the popular groups history rock several things common the music must inspired appeal across generations distinctive always groundbreaking but success music they compelling performers charismatic intelligent enough make good decisions keep feet ground they also want they want biggest band ever stop wanting the beatles rolling stones still rem hold onto queen catsuit and u 2 spades keep churning their new album how to dismantle an atomic bomb comes 28 years schoolfriends got together dublin 17 years the joshua tree cemented place time rock a list they may lost edginess raw youthful force propelled top lost none desire ability craft songs albums vertigo first single new album went straight uk singles chart number one knocking eminem top spot giving 26 th top 10 hit the challenge bigger bolder better make records whole world listen bono recently said drummer larry mullen jr echoed sentiments we competitive want radio big singles we want thought veteran band the band done everything considerable powers ensure remain biggest band world according q magazine editor paul rees this makes hugely determined formidable he added they equally determined push make music continues stand as constantly invented challenged they perhaps alone rock band got better age the key ingredient fact highly organised mr rees said they everything right way the group born mullen put appeal bandmates high school notice board attracting fellow pupils paul hewson bono vocals adam clayton bass david evans the edge guitar brother dick dick evans soon dropped four piece known the feedback the hype settling u 2 by 1978 talent contest got noticed manager paul mcguinness they brilliant coarse mcguinness recently said in way exactly only badly they struggled attract record company attention later described pretty damn average strange eerie scouts saw live they released two ireland singles topped national charts 1979 1980 leading deal island debut album boy the stadium filling anthemic sound u 2 aim start third album war saw make breakthrough sides atlantic going number one uk 12 us songs like sunday bloody sunday new year day brought success image political spiritual band bono rejected cliche his stage performances included flag waving speaker climbing drum throwing earned reputation electric performer appearance 1985 live aid widely seen sealing global stardom in 1987 the joshua tree broke sales records saw band reach height powers hits including where streets have no name i still have found what i looking for with or without you those songs took band epic atmospheric sound simple powerful popular pinnacle the end decade marked crucial point band reached top still yearned new challenges achievements these came form explorations different branches rock forays electronic dance music plus wildly extravagant stage shows still trying retain mass appeal the achtung baby album 1991 followed zooropa pop corresponding stadium tours featured giant olives flying cars live phone calls white house bono transformation alter egos the fly macphisto he also building parallel reputation always pleasure bandmates campaigner issues global debt aids before release how to dismantle an atomic bomb sold 125 million albums around world but still want,0,1,0,0,0
rocker doherty stage fight,rock singer pete doherty involved fight band guitarist biggest gig date babyshambles played 5 000 fans london brixton academy tuesday the former libertines singer traded blows guitarist patrick walden they separated bundled stage returning end set the show earlier held due audience overcrowding on monday doherty faced blackmail robbery charges court denies he 50 000 bail judge agreed extend 2200 gmt curfew deadline two hours could play brixton gig babyshambles formed acrimonious departure libertines played warm show the garage north london monday on tuesday doherty three bandmates introduced crowd mick jones former clash guitarist produced libertines second album babyshambles took stage frenzied reception 2200 gmt launching last single killamangiro reached number eight december but group stop next song persuade fans push forward allow security guards pull people crush doherty appealed fans calm saying there people getting hurt front got move back the music resumed minutes later several songs singer appeared accidentally disconnect walden guitar leading pair trade kicks punches bouncers stepped band left stage returned five minutes finished 50 minute performance trouble doherty 25 home midnight observe curfew one conditions bail on monday judge agreed allow perform condition requests changes bail terms regular occurrence the singer arrested fellow musician alan wass 2 february alleged dispute documentary maker max carlish london hotel they next due court 18 april,0,1,0,0,0
snicket tops us box office chart,the film adaptation lemony snicket novels topped north america box office chart displacing ocean 12 a series unfortunate events starring jim carrey took 30 2 15 5 debut weekend ocean 12 fell number two new entry spanglish entered chart number three taking 9 4 6 a series unfortunate events also stars scottish comedian billy connelly carrey takes number different roles surreal film the new entry top 10 make flight phoenix number eight starring dennis quaid carrey entertained crowds uk premiere lemony snicket london friday the actor grabbed co star meryl streep whisked around leicester square based cult children books author daniel handler film follows three children orphaned parents die fire they taken wicked uncle count olaf played carrey schemes get hands fortune,0,1,0,0,0
ocean twelve raids box office,ocean twelve crime caper sequel starring george clooney brad pitt julia roberts gone straight number one us box office chart it took 40 8 21 weekend ticket sales according studio estimates the sequel follows master criminals try pull three major heists across europe it knocked last week number one national treasure third place wesley snipes blade trinity second taking 16 1 8 4 rounding top five animated fable the polar express starring tom hanks festive comedy christmas kranks ocean twelve box office triumph marks fourth biggest opening december release us three films lord rings trilogy the sequel narrowly beat 2001 predecessor ocean eleven took 38 1 19 8 opening weekend 184 95 8 total a remake 1960 film starring frank sinatra rat pack ocean eleven directed oscar winning director steven soderbergh soderbergh returns direct hit sequel reunites clooney pitt roberts matt damon andy garcia elliott gould catherine zeta jones joins star cast it fun good holiday movie said dan fellman president distribution warner bros however us critics less complimentary 110 57 2 project los angeles times labelling dispiriting vanity project a milder review new york times dubbed sequel unabashedly trivial,0,1,0,0,0
landmark movies 2004 hailed,us film professionals declared fahrenheit 9 11 the passion christ two significant cultural milestones 2004 the american film institute afi hailed mel gibson biblical epic michael moore political documentary inspiring national debate it claimed film makers tossed hollywood convention window the institute also cited death actor marlon brando changing landscape tv news us in referring marlon brando death 1 july age 80 13 strong afi jury concluded art screen acting two chapters before brando after brando it credited screen legend raw hypnotic energy ability create characters like stanley kowalski terry malloy live forever annals film history the list also acknowledges key influences trends world film broadcasting among current trends highlighted final broadcasts veteran newscasters tom brokaw barbara walters impending retirement cbs news anchor dan rather it place afi fears news landscape newscasters personalities journalists balance integrity increasingly ignored the afi also questioned long term viability evening news broadcasts light 24 hour news channels internet the list also draws attention growing influence us broadcasting regulator federal communications commission fcc the institute concluded threat regulation went freefall following janet jackson wardrobe malfunction live super bowl performance february profound effect television unsure fcc rule issue creative community begun self censor shows disturbing trend country founded free expression afi jury declared to illustrate point afi cited abc affiliates refusal air steven spielberg film saving private ryan unedited form fears possible fines,0,1,0,0,0
pete doherty misses bail deadline,singer pete doherty spend weekend jail could come 150 000 bond money bail time the former libertines singer granted bail curfew restrictions highbury corner magistrates court charges robbery blackmail but lawyer said money could raised time mr doherty 25 arrested following alleged incident london hotel wednesday evening musician alan wass 23 also north london appeared court accused offences magistrates imposed range bail conditions mr doherty including curfew 2200 0700 except attends drug rehabilitation centre he told would able leave home without accompanied security firm he must also surrender passport report daily local police station mr wass also given curfew told surrender passport mr doherty left the libertines end june 2004 continued performing band babyshambles the singer linked supermodel kate moss arrested police called islington hotel response claims man assaulted a man 30 later taken university college hospital london facial injuries discharged a lawyer representing mr doherty mr wass said outside court pair strenuously denied charges,0,1,0,0,0
fockers retain film chart crown,comedy meet the fockers held number one spot north american box office second week it took 42 8 23 7 weekend making overall takings 163 90 12 days according studio estimates it took 19 1 9 9 christmas day alone highest takings day box office history the sequel ben stiller comedy meet the parents stars robert de niro dustin hoffman barbra streisand the success meet fockers could help produce record box office revenue 2004 said paul dergarabedian president industry tracker exhibitor relations we much stronger anticipated final week year helped industry end high note said mr dergarabedian meet fockers also broke box office records money taken new year eve made 12 2 6 2 new year day took 18 9 4 the previous new year eve record set 2000 cast away 8 5 4 5 the lord rings the return king held new year day title 12 8 6 7 however christmas takings 26 5 2003 figures blamed christmas falling weekend year this weekend top 12 films took estimated 125 4 65 8 4 3 increase weekend last year but major releases last week provide competition meet fockers lemony snicket a series unfortunate events finished second place 14 7 7 7 the aviator starring leonardo dicaprio howard hughes ended third position taking 11 2 5 9 comedy fat albert co written bill cosby moved chart fourth place taking 10 7 5 6,0,1,0,0,0
top gig award scissor sisters,new york band scissor sisters gig year award performance year v festival the award voted listeners virgin radio compiled top 10 mostly dominated newcomers music scene year the quirky disco rock band beat the red hot chili peppers came second hyde park performance june virgin radio dj pete mitchell said this year seen amazing array talent come mainstream he added the scissor sisters one original eccentric bands come surprise british public lapping performances newcomers keane came third place august gig v festival followed maroon 5 snow patrol music veterans the who david bowie earned places list number eight 10 respectively at number seven oxfam make fair trade gig london hammersmith apollo october featured performances rem razorlight coldplay chris martin glasgow franz ferdinand earned place number nine home town performance april the annual survey voted nearly 4 000 listeners,0,1,0,0,0
johnny depp the acting outlaw,johnny depp whose latest role peter pan creator jm barrie finding neverland celebrated one hollywood maverick talents depp become unlikely major star given preference taking dark idiosyncratic roles instead surefire box office hits he long running working relationship equally unconventional director tim burton depp born kentucky 1963 first wanted rock star playing number bands supporting acts iggy pop the b 52 florida on visit los angeles former wife introduced actor nicolas cage in 1984 started film career playing doomed teenager horror film nightmare on elm street two years later played soldier oliver stone vietnam epic platoon but tv first made depp star he played undercover cop tommy hanson us series 21 jump street three years 1987 in 1990 began partnership burton dark fairy tale edward scissorhands young man blades hands he plaudits 1993 downbeat film what eating gilbert grape played sensitive youth looking overweight mother retarded younger brother played leonardo dicaprio another role burton ed wood starred depp crazed cult film maker wood 1994 he played much serious sensitive role next major film donnie brasco portrayed undercover cop infiltrating mafia ring in 1997 directed film date the brave story indian man offered money appear snuff film two years later played hunter s thompson terry gilliam ambitious poorly received big screen adaptation fear loathing las vegas he worked tim burton 1999 horror film sleepy hollow appeared opposite dame judi dench juliette binoche chocolat his performance pirates caribbean earned golden globe bafta nominations many critics thinking based upon mannerisms friend rolling stones guitarist keith richards his latest role finding neverland explored jm barrie relationship sylvia kate winslet children depp charismatic performance drew audience adults children alike barrie vivid imagination called fifth child group film director marc forster he two children french singer vanessa paradis previously long term relationship british model kate moss the theme children literature depp career long association tim burton set continue next role playing willy wonka remake roald dahl classic charlie chocolate factory british tv comedy fans might also remember depp guest role final episode bbc sketch programme the fast show cited favourite show it another surprise move depp varied intriguing career,0,1,0,0,0
